seller_id,year_month,pedidos
0015a82c2db000af6aaaf3ae2ecb0532,2017-09-01,1
0015a82c2db000af6aaaf3ae2ecb0532,2017-10-01,2
001cca7ae9ae17fb1caed9dfb1094831,2017-02-01,11
001cca7ae9ae17fb1caed9dfb1094831,2017-03-01,17
001cca7ae9ae17fb1caed9dfb1094831,2017-04-01,15
001cca7ae9ae17fb1caed9dfb1094831,2017-05-01,26
001cca7ae9ae17fb1caed9dfb1094831,2017-06-01,22
001cca7ae9ae17fb1caed9dfb1094831,2017-07-01,25
001cca7ae9ae17fb1caed9dfb1094831,2017-08-01,12
001cca7ae9ae17fb1caed9dfb1094831,2017-09-01,16
001cca7ae9ae17fb1caed9dfb1094831,2017-10-01,25
001cca7ae9ae17fb1caed9dfb1094831,2017-11-01,25
001cca7ae9ae17fb1caed9dfb1094831,2017-12-01,13
001cca7ae9ae17fb1caed9dfb1094831,2018-01-01,8
001cca7ae9ae17fb1caed9dfb1094831,2018-02-01,3
001cca7ae9ae17fb1caed9dfb1094831,2018-03-01,9
001cca7ae9ae17fb1caed9dfb1094831,2018-04-01,4
001cca7ae9ae17fb1caed9dfb1094831,2018-06-01,2
001cca7ae9ae17fb1caed9dfb1094831,2018-07-01,1
002100f778ceb8431b7a1020ff7ab48f,2017-09-01,4
002100f778ceb8431b7a1020ff7ab48f,2017-10-01,11
002100f778ceb8431b7a1020ff7ab48f,2017-11-01,12
002100f778ceb8431b7a1020ff7ab48f,2017-12-01,15
002100f778ceb8431b7a1020ff7ab48f,2018-01-01,3
002100f778ceb8431b7a1020ff7ab48f,2018-02-01,4
002100f778ceb8431b7a1020ff7ab48f,2018-03-01,3
002100f778ceb8431b7a1020ff7ab48f,2018-04-01,2
003554e2dce176b5555353e4f3555ac8,2017-12-01,1
004c9cd9d87a3c30c522c48c4fc07416,2017-01-01,6
004c9cd9d87a3c30c522c48c4fc07416,2017-02-01,15
004c9cd9d87a3c30c522c48c4fc07416,2017-03-01,9
004c9cd9d87a3c30c522c48c4fc07416,2017-04-01,11
004c9cd9d87a3c30c522c48c4fc07416,2017-05-01,4
004c9cd9d87a3c30c522c48c4fc07416,2017-06-01,10
004c9cd9d87a3c30c522c48c4fc07416,2017-07-01,13
004c9cd9d87a3c30c522c48c4fc07416,2017-08-01,22
004c9cd9d87a3c30c522c48c4fc07416,2017-09-01,15
004c9cd9d87a3c30c522c48c4fc07416,2017-10-01,6
004c9cd9d87a3c30c522c48c4fc07416,2017-11-01,18
004c9cd9d87a3c30c522c48c4fc07416,2017-12-01,13
004c9cd9d87a3c30c522c48c4fc07416,2018-01-01,8
004c9cd9d87a3c30c522c48c4fc07416,2018-02-01,3
004c9cd9d87a3c30c522c48c4fc07416,2018-03-01,8
004c9cd9d87a3c30c522c48c4fc07416,2018-04-01,5
004c9cd9d87a3c30c522c48c4fc07416,2018-05-01,2
00720abe85ba0859807595bbf045a33b,2018-01-01,2
00720abe85ba0859807595bbf045a33b,2018-02-01,1
00720abe85ba0859807595bbf045a33b,2018-03-01,4
00720abe85ba0859807595bbf045a33b,2018-04-01,6
00720abe85ba0859807595bbf045a33b,2018-05-01,5
00720abe85ba0859807595bbf045a33b,2018-06-01,6
00720abe85ba0859807595bbf045a33b,2018-07-01,1
00720abe85ba0859807595bbf045a33b,2018-08-01,1
00ab3eff1b5192e5f1a63bcecfee11c8,2017-03-01,1
00d8b143d12632bad99c0ad66ad52825,2018-03-01,1
00ee68308b45bc5e2660cd833c3f81cc,2017-09-01,3
00ee68308b45bc5e2660cd833c3f81cc,2017-10-01,11
00ee68308b45bc5e2660cd833c3f81cc,2017-11-01,17
00ee68308b45bc5e2660cd833c3f81cc,2017-12-01,19
00ee68308b45bc5e2660cd833c3f81cc,2018-01-01,61
00ee68308b45bc5e2660cd833c3f81cc,2018-02-01,20
00ee68308b45bc5e2660cd833c3f81cc,2018-03-01,19
00ee68308b45bc5e2660cd833c3f81cc,2018-04-01,14
00ee68308b45bc5e2660cd833c3f81cc,2018-05-01,1
00ee68308b45bc5e2660cd833c3f81cc,2018-06-01,4
00ee68308b45bc5e2660cd833c3f81cc,2018-07-01,1
00ee68308b45bc5e2660cd833c3f81cc,2018-08-01,2
00fc707aaaad2d31347cf883cd2dfe10,2018-01-01,3
00fc707aaaad2d31347cf883cd2dfe10,2018-02-01,99
00fc707aaaad2d31347cf883cd2dfe10,2018-03-01,19
00fc707aaaad2d31347cf883cd2dfe10,2018-04-01,11
00fc707aaaad2d31347cf883cd2dfe10,2018-05-01,1
00fc707aaaad2d31347cf883cd2dfe10,2018-06-01,2
010543a62bd80aa422851e79a3bc7540,2017-07-01,1
010543a62bd80aa422851e79a3bc7540,2017-08-01,1
010da0602d7774602cd1b3f5fb7b709e,2018-06-01,5
011b0eaba87386a2ae96a7d32bb531d1,2016-10-01,2
01266d4c46afa519678d16a8b683d325,2018-08-01,3
013900e863eace745d3ec7614cab5b1a,2017-03-01,2
013900e863eace745d3ec7614cab5b1a,2017-08-01,3
013900e863eace745d3ec7614cab5b1a,2017-11-01,2
013900e863eace745d3ec7614cab5b1a,2017-12-01,6
013900e863eace745d3ec7614cab5b1a,2018-01-01,5
013900e863eace745d3ec7614cab5b1a,2018-02-01,6
013900e863eace745d3ec7614cab5b1a,2018-04-01,2
014c0679dd340a0e338872e7ec85666a,2017-01-01,1
014c0679dd340a0e338872e7ec85666a,2017-02-01,1
014c0679dd340a0e338872e7ec85666a,2017-04-01,1
014c0679dd340a0e338872e7ec85666a,2017-05-01,1
014c0679dd340a0e338872e7ec85666a,2017-09-01,1
014c0679dd340a0e338872e7ec85666a,2017-11-01,1
014c0679dd340a0e338872e7ec85666a,2017-12-01,1
014c0679dd340a0e338872e7ec85666a,2018-01-01,1
014c0679dd340a0e338872e7ec85666a,2018-02-01,1
014c0679dd340a0e338872e7ec85666a,2018-03-01,3
014c0679dd340a0e338872e7ec85666a,2018-04-01,1
014c0679dd340a0e338872e7ec85666a,2018-07-01,2
014d9a685fd57276679edd00e07089e5,2017-11-01,1
014d9a685fd57276679edd00e07089e5,2018-01-01,1
014d9a685fd57276679edd00e07089e5,2018-03-01,4
014d9a685fd57276679edd00e07089e5,2018-04-01,3
014d9a685fd57276679edd00e07089e5,2018-08-01,3
0176f73cc1195f367f7b32db1e5b3aa8,2017-11-01,3
0176f73cc1195f367f7b32db1e5b3aa8,2018-01-01,6
0176f73cc1195f367f7b32db1e5b3aa8,2018-02-01,4
0176f73cc1195f367f7b32db1e5b3aa8,2018-03-01,4
0176f73cc1195f367f7b32db1e5b3aa8,2018-04-01,3
0176f73cc1195f367f7b32db1e5b3aa8,2018-05-01,6
0176f73cc1195f367f7b32db1e5b3aa8,2018-06-01,4
0176f73cc1195f367f7b32db1e5b3aa8,2018-07-01,6
0176f73cc1195f367f7b32db1e5b3aa8,2018-08-01,2
01bcc9d254a0143f0ce9791b960b2a47,2017-08-01,1
01bcc9d254a0143f0ce9791b960b2a47,2017-09-01,5
01bcc9d254a0143f0ce9791b960b2a47,2017-10-01,2
01bcc9d254a0143f0ce9791b960b2a47,2018-01-01,1
01bcc9d254a0143f0ce9791b960b2a47,2018-02-01,1
01c97ebb5cdac52891c0ed1c37ba0012,2017-04-01,2
01c97ebb5cdac52891c0ed1c37ba0012,2017-07-01,1
01c97ebb5cdac52891c0ed1c37ba0012,2017-08-01,1
01c97ebb5cdac52891c0ed1c37ba0012,2017-11-01,2
01c97ebb5cdac52891c0ed1c37ba0012,2018-03-01,5
01c97ebb5cdac52891c0ed1c37ba0012,2018-07-01,1
01cf7e3d21494c41fb86034f2e714fa1,2016-10-01,1
01cf7e3d21494c41fb86034f2e714fa1,2017-01-01,5
01cf7e3d21494c41fb86034f2e714fa1,2017-02-01,2
01cf7e3d21494c41fb86034f2e714fa1,2017-03-01,15
01cf7e3d21494c41fb86034f2e714fa1,2017-04-01,10
01cf7e3d21494c41fb86034f2e714fa1,2017-05-01,3
01cf7e3d21494c41fb86034f2e714fa1,2017-06-01,1
01cf7e3d21494c41fb86034f2e714fa1,2017-07-01,12
01cf7e3d21494c41fb86034f2e714fa1,2017-08-01,11
01cf7e3d21494c41fb86034f2e714fa1,2018-02-01,5
01ed254b9ff8407dfb9d99ba1e17d923,2017-08-01,2
01ed254b9ff8407dfb9d99ba1e17d923,2017-09-01,1
01ed254b9ff8407dfb9d99ba1e17d923,2017-10-01,1
01ed254b9ff8407dfb9d99ba1e17d923,2017-11-01,1
01fd077212124329bac32490e8ef80d9,2018-04-01,7
01fd077212124329bac32490e8ef80d9,2018-05-01,9
01fd077212124329bac32490e8ef80d9,2018-06-01,3
01fd077212124329bac32490e8ef80d9,2018-07-01,7
01fd077212124329bac32490e8ef80d9,2018-08-01,13
