seller_id,year_month,ingresos_total
0015a82c2db000af6aaaf3ae2ecb0532,2017-09-01,895.0
0015a82c2db000af6aaaf3ae2ecb0532,2017-10-01,1790.0
001cca7ae9ae17fb1caed9dfb1094831,2017-02-01,1098.9
001cca7ae9ae17fb1caed9dfb1094831,2017-03-01,1676.7
001cca7ae9ae17fb1caed9dfb1094831,2017-04-01,1708.2
001cca7ae9ae17fb1caed9dfb1094831,2017-05-01,2639.99
001cca7ae9ae17fb1caed9dfb1094831,2017-06-01,2213.49
001cca7ae9ae17fb1caed9dfb1094831,2017-07-01,2483.95
001cca7ae9ae17fb1caed9dfb1094831,2017-08-01,1244.0
001cca7ae9ae17fb1caed9dfb1094831,2017-09-01,1714.0
001cca7ae9ae17fb1caed9dfb1094831,2017-10-01,2626.0
001cca7ae9ae17fb1caed9dfb1094831,2017-11-01,2540.0
001cca7ae9ae17fb1caed9dfb1094831,2017-12-01,1330.0
001cca7ae9ae17fb1caed9dfb1094831,2018-01-01,914.0
001cca7ae9ae17fb1caed9dfb1094831,2018-02-01,331.0
001cca7ae9ae17fb1caed9dfb1094831,2018-03-01,1056.9
001cca7ae9ae17fb1caed9dfb1094831,2018-04-01,539.0
001cca7ae9ae17fb1caed9dfb1094831,2018-06-01,241.0
001cca7ae9ae17fb1caed9dfb1094831,2018-07-01,129.9
002100f778ceb8431b7a1020ff7ab48f,2017-09-01,47.6
002100f778ceb8431b7a1020ff7ab48f,2017-10-01,191.9
002100f778ceb8431b7a1020ff7ab48f,2017-11-01,276.8
002100f778ceb8431b7a1020ff7ab48f,2017-12-01,265.5
002100f778ceb8431b7a1020ff7ab48f,2018-01-01,77.7
002100f778ceb8431b7a1020ff7ab48f,2018-02-01,189.6
002100f778ceb8431b7a1020ff7ab48f,2018-03-01,57.7
002100f778ceb8431b7a1020ff7ab48f,2018-04-01,109.8
003554e2dce176b5555353e4f3555ac8,2017-12-01,120.0
004c9cd9d87a3c30c522c48c4fc07416,2017-01-01,719.94
004c9cd9d87a3c30c522c48c4fc07416,2017-02-01,2043.36
004c9cd9d87a3c30c522c48c4fc07416,2017-03-01,1078.91
004c9cd9d87a3c30c522c48c4fc07416,2017-04-01,1389.92
004c9cd9d87a3c30c522c48c4fc07416,2017-05-01,445.96
004c9cd9d87a3c30c522c48c4fc07416,2017-06-01,1338.9
004c9cd9d87a3c30c522c48c4fc07416,2017-07-01,1263.62
004c9cd9d87a3c30c522c48c4fc07416,2017-08-01,2653.98
004c9cd9d87a3c30c522c48c4fc07416,2017-09-01,1278.22
004c9cd9d87a3c30c522c48c4fc07416,2017-10-01,679.85
004c9cd9d87a3c30c522c48c4fc07416,2017-11-01,2095.4
004c9cd9d87a3c30c522c48c4fc07416,2017-12-01,1374.81
004c9cd9d87a3c30c522c48c4fc07416,2018-01-01,1110.16
004c9cd9d87a3c30c522c48c4fc07416,2018-02-01,395.19
004c9cd9d87a3c30c522c48c4fc07416,2018-03-01,659.66
004c9cd9d87a3c30c522c48c4fc07416,2018-04-01,692.35
004c9cd9d87a3c30c522c48c4fc07416,2018-05-01,349.5
00720abe85ba0859807595bbf045a33b,2018-01-01,156.0
00720abe85ba0859807595bbf045a33b,2018-02-01,78.0
00720abe85ba0859807595bbf045a33b,2018-03-01,54.0
00720abe85ba0859807595bbf045a33b,2018-04-01,151.7
00720abe85ba0859807595bbf045a33b,2018-05-01,269.6
00720abe85ba0859807595bbf045a33b,2018-06-01,88.2
00720abe85ba0859807595bbf045a33b,2018-07-01,78.0
00720abe85ba0859807595bbf045a33b,2018-08-01,132.0
00ab3eff1b5192e5f1a63bcecfee11c8,2017-03-01,98.0
00d8b143d12632bad99c0ad66ad52825,2018-03-01,86.0
00ee68308b45bc5e2660cd833c3f81cc,2017-09-01,240.0
00ee68308b45bc5e2660cd833c3f81cc,2017-10-01,1016.0
00ee68308b45bc5e2660cd833c3f81cc,2017-11-01,1735.0
00ee68308b45bc5e2660cd833c3f81cc,2017-12-01,1777.0
00ee68308b45bc5e2660cd833c3f81cc,2018-01-01,6534.0
00ee68308b45bc5e2660cd833c3f81cc,2018-02-01,3348.0
00ee68308b45bc5e2660cd833c3f81cc,2018-03-01,2688.0
00ee68308b45bc5e2660cd833c3f81cc,2018-04-01,2312.0
00ee68308b45bc5e2660cd833c3f81cc,2018-05-01,79.0
00ee68308b45bc5e2660cd833c3f81cc,2018-06-01,214.0
00ee68308b45bc5e2660cd833c3f81cc,2018-07-01,119.0
00ee68308b45bc5e2660cd833c3f81cc,2018-08-01,198.0
00fc707aaaad2d31347cf883cd2dfe10,2018-01-01,260.4
00fc707aaaad2d31347cf883cd2dfe10,2018-02-01,9096.6
00fc707aaaad2d31347cf883cd2dfe10,2018-03-01,1745.7
00fc707aaaad2d31347cf883cd2dfe10,2018-04-01,1195.8
00fc707aaaad2d31347cf883cd2dfe10,2018-05-01,190.0
00fc707aaaad2d31347cf883cd2dfe10,2018-06-01,196.4
010543a62bd80aa422851e79a3bc7540,2017-07-01,708.0
010543a62bd80aa422851e79a3bc7540,2017-08-01,708.0
010da0602d7774602cd1b3f5fb7b709e,2018-06-01,849.5
011b0eaba87386a2ae96a7d32bb531d1,2016-10-01,99.98
01266d4c46afa519678d16a8b683d325,2018-08-01,90.25
013900e863eace745d3ec7614cab5b1a,2017-03-01,146.0
013900e863eace745d3ec7614cab5b1a,2017-08-01,162.0
013900e863eace745d3ec7614cab5b1a,2017-11-01,120.8
013900e863eace745d3ec7614cab5b1a,2017-12-01,339.9
013900e863eace745d3ec7614cab5b1a,2018-01-01,277.5
013900e863eace745d3ec7614cab5b1a,2018-02-01,387.5
013900e863eace745d3ec7614cab5b1a,2018-04-01,186.0
014c0679dd340a0e338872e7ec85666a,2017-01-01,110.0
014c0679dd340a0e338872e7ec85666a,2017-02-01,110.0
014c0679dd340a0e338872e7ec85666a,2017-04-01,594.0
014c0679dd340a0e338872e7ec85666a,2017-05-01,594.0
014c0679dd340a0e338872e7ec85666a,2017-09-01,589.0
014c0679dd340a0e338872e7ec85666a,2017-11-01,175.0
014c0679dd340a0e338872e7ec85666a,2017-12-01,400.0
014c0679dd340a0e338872e7ec85666a,2018-01-01,435.0
014c0679dd340a0e338872e7ec85666a,2018-02-01,1320.0
014c0679dd340a0e338872e7ec85666a,2018-03-01,1693.0
014c0679dd340a0e338872e7ec85666a,2018-04-01,358.0
014c0679dd340a0e338872e7ec85666a,2018-07-01,680.0
014d9a685fd57276679edd00e07089e5,2017-11-01,69.99
014d9a685fd57276679edd00e07089e5,2018-01-01,69.99
014d9a685fd57276679edd00e07089e5,2018-03-01,217.96
014d9a685fd57276679edd00e07089e5,2018-04-01,131.97
014d9a685fd57276679edd00e07089e5,2018-08-01,239.97
0176f73cc1195f367f7b32db1e5b3aa8,2017-11-01,559.7
0176f73cc1195f367f7b32db1e5b3aa8,2018-01-01,875.4
0176f73cc1195f367f7b32db1e5b3aa8,2018-02-01,365.6
0176f73cc1195f367f7b32db1e5b3aa8,2018-03-01,292.6
0176f73cc1195f367f7b32db1e5b3aa8,2018-04-01,295.7
0176f73cc1195f367f7b32db1e5b3aa8,2018-05-01,775.4
0176f73cc1195f367f7b32db1e5b3aa8,2018-06-01,509.6
0176f73cc1195f367f7b32db1e5b3aa8,2018-07-01,689.4
0176f73cc1195f367f7b32db1e5b3aa8,2018-08-01,279.8
01bcc9d254a0143f0ce9791b960b2a47,2017-08-01,117.79
01bcc9d254a0143f0ce9791b960b2a47,2017-09-01,670.77
01bcc9d254a0143f0ce9791b960b2a47,2017-10-01,317.4
01bcc9d254a0143f0ce9791b960b2a47,2018-01-01,121.35
01bcc9d254a0143f0ce9791b960b2a47,2018-02-01,165.9
01c97ebb5cdac52891c0ed1c37ba0012,2017-04-01,58.8
01c97ebb5cdac52891c0ed1c37ba0012,2017-07-01,29.4
01c97ebb5cdac52891c0ed1c37ba0012,2017-08-01,29.4
01c97ebb5cdac52891c0ed1c37ba0012,2017-11-01,58.8
01c97ebb5cdac52891c0ed1c37ba0012,2018-03-01,326.2
01c97ebb5cdac52891c0ed1c37ba0012,2018-07-01,74.9
01cf7e3d21494c41fb86034f2e714fa1,2016-10-01,69.9
01cf7e3d21494c41fb86034f2e714fa1,2017-01-01,770.9
01cf7e3d21494c41fb86034f2e714fa1,2017-02-01,152.1
01cf7e3d21494c41fb86034f2e714fa1,2017-03-01,1274.06
01cf7e3d21494c41fb86034f2e714fa1,2017-04-01,1813.56
01cf7e3d21494c41fb86034f2e714fa1,2017-05-01,1246.99
01cf7e3d21494c41fb86034f2e714fa1,2017-06-01,89.9
01cf7e3d21494c41fb86034f2e714fa1,2017-07-01,1164.8
01cf7e3d21494c41fb86034f2e714fa1,2017-08-01,1811.45
01cf7e3d21494c41fb86034f2e714fa1,2018-02-01,1045.9
01ed254b9ff8407dfb9d99ba1e17d923,2017-08-01,678.0
01ed254b9ff8407dfb9d99ba1e17d923,2017-09-01,339.0
01ed254b9ff8407dfb9d99ba1e17d923,2017-10-01,349.0
01ed254b9ff8407dfb9d99ba1e17d923,2017-11-01,99.99
01fd077212124329bac32490e8ef80d9,2018-04-01,198.0
01fd077212124329bac32490e8ef80d9,2018-05-01,205.0
01fd077212124329bac32490e8ef80d9,2018-06-01,69.0
01fd077212124329bac32490e8ef80d9,2018-07-01,266.0
01fd077212124329bac32490e8ef80d9,2018-08-01,470.0
01fdefa7697d26ad920e9e0346d4bd1b,2017-04-01,64.9
01fdefa7697d26ad920e9e0346d4bd1b,2017-05-01,346.78
01fdefa7697d26ad920e9e0346d4bd1b,2017-06-01,366.59
01fdefa7697d26ad920e9e0346d4bd1b,2017-07-01,1242.47
01fdefa7697d26ad920e9e0346d4bd1b,2017-08-01,1085.39
01fdefa7697d26ad920e9e0346d4bd1b,2017-09-01,797.5
01fdefa7697d26ad920e9e0346d4bd1b,2017-10-01,909.46
01fdefa7697d26ad920e9e0346d4bd1b,2017-11-01,1169.56
01fdefa7697d26ad920e9e0346d4bd1b,2017-12-01,1993.42
01fdefa7697d26ad920e9e0346d4bd1b,2018-01-01,1675.8
01fdefa7697d26ad920e9e0346d4bd1b,2018-02-01,778.3
01fdefa7697d26ad920e9e0346d4bd1b,2018-03-01,518.5
01fdefa7697d26ad920e9e0346d4bd1b,2018-04-01,389.69
01fdefa7697d26ad920e9e0346d4bd1b,2018-05-01,320.8
01fdefa7697d26ad920e9e0346d4bd1b,2018-06-01,719.2
01fdefa7697d26ad920e9e0346d4bd1b,2018-07-01,604.3
01fdefa7697d26ad920e9e0346d4bd1b,2018-08-01,1819.87
0241d4d5d36f10f80c644447315af0bd,2017-10-01,123.9
0241d4d5d36f10f80c644447315af0bd,2017-11-01,652.8
0241d4d5d36f10f80c644447315af0bd,2017-12-01,797.9
0241d4d5d36f10f80c644447315af0bd,2018-01-01,3199.3
0241d4d5d36f10f80c644447315af0bd,2018-02-01,3500.3
0241d4d5d36f10f80c644447315af0bd,2018-03-01,2591.2
0241d4d5d36f10f80c644447315af0bd,2018-04-01,2851.5
0241d4d5d36f10f80c644447315af0bd,2018-05-01,4207.1
0241d4d5d36f10f80c644447315af0bd,2018-06-01,5209.7
0241d4d5d36f10f80c644447315af0bd,2018-07-01,5065.2
0241d4d5d36f10f80c644447315af0bd,2018-08-01,3198.8
0249d282d911d23cb8b869ab49c99f53,2017-09-01,43.0
0249d282d911d23cb8b869ab49c99f53,2017-10-01,129.5
0249d282d911d23cb8b869ab49c99f53,2017-11-01,198.5
0249d282d911d23cb8b869ab49c99f53,2018-03-01,22.0
024b564ae893ce8e9bfa02c10a401ece,2016-10-01,467.4
024b564ae893ce8e9bfa02c10a401ece,2017-02-01,239.0
028872bfa080090a9d0abd4f1af168f8,2017-08-01,70.5
02b72cdeb9cfcc429f1af6f4e3f3b737,2018-07-01,129.15
02b72cdeb9cfcc429f1af6f4e3f3b737,2018-08-01,393.5
02c988090b766852e088c69d7fb3b551,2017-07-01,175.39
02c988090b766852e088c69d7fb3b551,2017-08-01,169.99
02c988090b766852e088c69d7fb3b551,2017-09-01,47.5
02c988090b766852e088c69d7fb3b551,2017-10-01,119.4
02c988090b766852e088c69d7fb3b551,2017-11-01,37.79
02c988090b766852e088c69d7fb3b551,2018-01-01,89.9
02c988090b766852e088c69d7fb3b551,2018-02-01,34.9
02c988090b766852e088c69d7fb3b551,2018-04-01,180.9
02c988090b766852e088c69d7fb3b551,2018-05-01,175.9
02c988090b766852e088c69d7fb3b551,2018-06-01,180.9
02c988090b766852e088c69d7fb3b551,2018-07-01,180.9
02c988090b766852e088c69d7fb3b551,2018-08-01,170.9
02d35243ea2e497335cd0f076b45675d,2017-04-01,498.0
02d35243ea2e497335cd0f076b45675d,2017-06-01,249.0
02d35243ea2e497335cd0f076b45675d,2017-08-01,1245.0
02d35243ea2e497335cd0f076b45675d,2017-09-01,249.0
02d35243ea2e497335cd0f076b45675d,2017-11-01,1106.0
02d35243ea2e497335cd0f076b45675d,2017-12-01,1899.0
02d35243ea2e497335cd0f076b45675d,2018-03-01,289.0
02d35243ea2e497335cd0f076b45675d,2018-08-01,259.0
02dcd3e8e25bee036e32512bcf175493,2018-02-01,225.0
02dcd3e8e25bee036e32512bcf175493,2018-03-01,423.0
02dcd3e8e25bee036e32512bcf175493,2018-04-01,174.0
02dcd3e8e25bee036e32512bcf175493,2018-07-01,190.0
02dcd3e8e25bee036e32512bcf175493,2018-08-01,329.9
02ecc2a19303f05e59ce133fd923fff7,2017-06-01,149.9
02ecc2a19303f05e59ce133fd923fff7,2017-09-01,449.7
02ecc2a19303f05e59ce133fd923fff7,2017-11-01,846.1
02ecc2a19303f05e59ce133fd923fff7,2017-12-01,914.6
02ecc2a19303f05e59ce133fd923fff7,2018-01-01,447.0
02ecc2a19303f05e59ce133fd923fff7,2018-02-01,299.3
02ecc2a19303f05e59ce133fd923fff7,2018-03-01,1116.7
02ecc2a19303f05e59ce133fd923fff7,2018-04-01,219.22
02ecc2a19303f05e59ce133fd923fff7,2018-05-01,419.1
02ecc2a19303f05e59ce133fd923fff7,2018-07-01,282.8
02ecc2a19303f05e59ce133fd923fff7,2018-08-01,119.77
02f5837340d7eb4f653d676c7256523a,2017-11-01,707.3
02f5837340d7eb4f653d676c7256523a,2017-12-01,909.93
02f5837340d7eb4f653d676c7256523a,2018-01-01,1559.88
02f5837340d7eb4f653d676c7256523a,2018-03-01,125.99
02f5837340d7eb4f653d676c7256523a,2018-04-01,115.99
02f5837340d7eb4f653d676c7256523a,2018-06-01,231.98
02f5837340d7eb4f653d676c7256523a,2018-07-01,115.99
02f5837340d7eb4f653d676c7256523a,2018-08-01,115.99
02f623a8eb246f3c5f7c2f96462654e6,2018-04-01,288.0
02f623a8eb246f3c5f7c2f96462654e6,2018-05-01,557.0
02f623a8eb246f3c5f7c2f96462654e6,2018-06-01,1174.0
02f623a8eb246f3c5f7c2f96462654e6,2018-07-01,2179.0
02f623a8eb246f3c5f7c2f96462654e6,2018-08-01,2180.0
0307f7565ff85b299b6e5ef162b1b1a9,2016-10-01,16.9
0307f7565ff85b299b6e5ef162b1b1a9,2017-02-01,2218.0
0307f7565ff85b299b6e5ef162b1b1a9,2017-03-01,1878.0
0307f7565ff85b299b6e5ef162b1b1a9,2017-05-01,599.0
