order_purchase_date,order_count,sellers_count,revenue,customers_count
2016-12-01,1,1,10.9,1
2017-01-01,913,219,111798.36,750
2017-02-01,1858,402,234223.4,1653
2017-03-01,2897,476,359198.85,2546
2017-04-01,2569,488,340669.68,2303
2017-05-01,4004,563,489338.25,3546
2017-06-01,3489,519,421923.37,3135
2017-07-01,4416,593,481604.52,3872
2017-08-01,4797,683,554699.7,4193
2017-09-01,4737,711,607399.67,4150
2017-10-01,5214,762,648247.65,4478
2017-11-01,5215,822,638987.77,4506
2017-12-01,6187,846,726033.1900000001,5513
2018-01-01,8037,956,924645.0,7069
2018-02-01,7518,928,826437.13,6555
2018-03-01,8017,981,953356.25,7003
2018-04-01,7827,1105,973534.09,6798
2018-05-01,7810,1105,977544.6900000001,6749
2018-06-01,7010,1165,856077.86,6099
2018-07-01,6963,1238,867953.46,6159
2018-08-01,4760,1047,586662.59,4219
